2.75927 -85.4303 -18.2953 37.4302 -636.795 -256.407 -45.2277 -7.83867 336.538 -5458.83 -2109.64 -518.555 -99.7244 -23.0644 0.0968197 | 1.2544e-05 2 0.379068 1.99987 0.398508 0.87003 0.00540025 0.966389 0.236943 0.994053 
-2.60805 12.895 -1.80347 -0.424367 6.48279 -25.0788 34.7459 -8.41115 -0.0232259 0.87263 -7.78035 53.771 -92.222 174.322 -2.83404 | 1.69962e-06 0.329099 -1.99907 0.0510641 1.99303 0.00103715 0.0106522 -0.999312 -0.0125631 -0.971044 
-7.92205 1.57217 15.4698 -29.3519 48.8426 -23.3364 -32.8399 117.573 -44.2501 123.58 -142.333 314.438 -45.2917 -627.193 166.709 | 0.000177227 1.99772 -1.99972 0.0746652 1.96388 0.239967 0.915441 -0.999302 0.242058 -0.994557 
7.9359 -8.77157 -23.6094 30.882 27.1124 -29.2548 -73.4698 -117.598 52.3891 101.472 46.0094 29.2147 -231.823 -551.636 -82.7443 | 4.97019e-06 2 1.99999 0.307634 1.33967 0.248687 0.168302 0.999565 0.0834082 0.999743 
7.66095 -64.4349 -45.5657 81.2353 -415.267 -429.7 -297.012 -295.456 597.464 -3150.96 -2870.71 -2163.91 -2089.66 -2362.74 -308.341 | 0.000174989 1.99856 1.91536 1.86051 1.90802 0.248133 0.798466 0.99858 0.605241 0.99977 
6.81485 -80.322 -41.1307 78.5228 -578.971 -484.147 -188.261 -83.7777 634.07 -4875.48 -3626.71 -1756.02 -910.753 -380.994 -15.8653 | 0.000267941 1.97949 1.71352 1.98791 0.398525 0.146829 0.551624 0.999365 0.184359 0.805733 
5.60431 -68.3556 -31.5783 52.8907 -492.608 -262.314 -173.46 -161.023 358.799 -4036.59 -1668.13 -1123.55 -1094.44 -1086.9 -151.474 | 4.0684e-05 1.98811 1.94808 1.92199 1.84319 0.0554831 0.85143 -0.822831 0.174628 0.138525 
-6.99574 0.400618 12.476 -23.6645 36.2944 -20.4242 -19.1776 81.8587 -34.0396 85.3326 -96.41 261.308 -69.3164 -411.062 115.745 | 2.62646e-06 1.99884 -1.90616 0.109839 1.93681 0.0025007 0.0020379 -0.972127 -0.023595 -0.222284 
2.58406 -62.3591 -17.7938 31.3103 -409.027 -186.414 -129.676 -83.0738 248.701 -3081.92 -1311.64 -942.708 -562.041 -693.319 -65.3457 | 9.16334e-05 1.90946 0.351518 1.86085 1.99519 0.165248 0.801409 0.917767 0.611017 0.995913 
6.44213 -53.2521 -38.1939 66.372 -352.063 -348.713 -243.867 -253.422 487.697 -2760.18 -2376.79 -1803.49 -1749.92 -1949.38 -261.451 | 0.000286213 1.63452 1.89976 1.97055 1.94902 0.157632 0.0106522 0.96034 0.25403 0.948515 
-4.53991 -57.2217 15.1776 -36.2896 -425.15 128.39 -111.032 62.4439 -207.069 -3453.43 719.138 -627.154 533.352 -731.27 74.3074 | 9.40428e-05 1.90946 -1.99916 1.90423 1.99519 0.165248 0.783837 0.917767 0.601128 0.995913 
3.12067 -29.8137 -17.945 26.5245 -182.179 -121.815 -99.5279 -99.7532 165.209 -1294.36 -704.086 -622.432 -591.913 -665.678 -82.9771 | 0.000450232 0.973959 1.92505 1.98438 1.7973 0.0101183 0.0756776 -0.779559 -0.0114049 0.963538 
-7.32976 3.28569 12.5149 -23.8487 43.0994 -29.6277 -15.7952 92.2492 -32.0278 92.605 -117.842 306.526 -98.2561 -444.699 135.949 | 9.40428e-05 1.90946 -1.99916 0.053791 1.99519 0.165248 0.219776 -0.630698 -0.0311454 -0.971044 
-5.70489 -47.4264 23.2777 -52.6319 -323.461 221.115 -162.026 140.608 -349.035 -2489.17 1429.05 -1096.59 1046.51 -1276.24 155.176 | 3.33509e-05 1.74887 -1.9946 1.88941 1.95937 0.0135627 0.172672 0.759135 0.243534 -0.970989 
1.84122 -79.331 -13.1037 22.1137 -601.221 -140.409 -134.347 -56.9757 184.463 -5213.97 -1067.44 -1080.9 -395.025 -611.579 -45.3909 | 3.86736e-05 1.9966 0.422267 1.99952 1.93681 0.157107 0.0020379 0.822493 0.242438 -0.188683 
4.888 -81.1481 -27.4562 51.0378 -606.187 -295.786 -96.1478 -36.5552 382.481 -5203.05 -2083.98 -836.056 -464.973 -163.383 -5.08648 | 0.000306429 1.97825 1.58018 1.99911 0.437846 0.156778 0.0578579 -0.934291 0.200554 0.842981 
-3.97 -41.4735 15.8518 -31.7102 -238.893 137.753 -58.3337 26.1743 -182.929 -1578.98 748.156 -399.418 258.689 -122.986 5.97925 | 4.01973e-05 1.57765 -1.58472 1.78747 0.398508 0.0390516 0.0169072 -0.99621 0.188649 0.994053 
5.0383 -66.4181 -24.0413 40.8482 -450.162 -189.602 -49.261 -16.4854 237.133 -3433.54 -1027.28 -240.027 -302.538 -53.6543 0.943619 | 3.44342e-05 1.98612 1.97946 1.84347 0.222619 0.108483 0.539922 -0.918622 0.236184 -0.595818 
5.55599 -67.1781 -31.2058 52.1173 -481.589 -257.01 -170.528 -159.144 351.582 -3926.51 -1625.31 -1097.29 -1074.72 -1069.06 -149.352 | 4.0684e-05 1.97249 1.94808 1.91939 1.84319 0.0554831 0.85143 -0.822831 0.174628 0.138525 
0.766555 -83.6605 -4.10682 8.43791 -622.965 -50.5626 -20.7018 -1.17832 65.9222 -5311.57 -374.535 -247.924 -22.2392 -7.87696 0.462049 | 0.000575272 1.99795 0.218109 1.98939 0.401669 0.876499 1.00735 -0.824726 0.238293 0.919325 
1.4095 -77.0963 -9.82755 16.6647 -573.221 -105.573 -97.9579 -32.2235 136.949 -4883.86 -791.987 -785.487 -224.757 -335.931 -19.0385 | 0.000280586 1.95601 0.324693 1.98921 1.69374 0.167004 0.610467 0.730193 0.284754 -0.224089 
0.583401 -78.0894 -0.0757382 -1.07795 -559.141 35.3538 -3.57411 1.47974 -49.5675 -4556.11 441.012 -38.8109 -2.86151 -2.1792 0.691166 | 4.75701e-05 1.99998 0.596833 1.93099 0.370247 0.0547323 0.00369227 -0.694626 -0.00969559 -0.95756 
4.47331 -30.5619 -24.6449 39.6238 -176.905 -183.234 -135.428 -148.445 256.076 -1232.15 -1108.76 -896.087 -876.914 -946.204 -126.593 | 0.000450232 0.973959 1.91949 1.98363 1.75199 0.0101183 0.0756776 0.936378 -0.0114049 0.963538 
1.68305 -73.8624 -9.93158 15.8669 -526.94 -84.0609 -103.899 -35.5185 107.547 -4290.35 -526.132 -808.993 -220.236 -400.784 -25.7214 | 4.79939e-05 1.99998 0.588352 1.92625 1.71526 0.87003 0.00540025 0.731995 0.279348 -0.964664 
1.94567 -28.308 -8.03726 14.9751 -125.69 -66.7317 -15.5613 -3.20098 82.7636 -687.142 -345.196 -109.791 -27.5444 -8.06678 0.357121 | 3.47523e-06 0.976747 0.395046 1.76778 0.398525 0.794247 0.549606 0.863182 -0.00722132 0.816645 
-5.36134 -70.2865 27.8118 -56.5019 -495.741 313.207 -104.521 42.3227 -420.067 -3994.51 2191.8 -901.856 439.8 -170.951 7.85555 | 4.01997e-05 1.97249 -1.49444 1.91939 0.395197 0.0388571 0.0231014 -0.998597 0.174628 0.138525 
